field1,field2,field3
399.8001,310.9884542,300.4631613
397.6882364,321.2200581,301.7870866
391.4797409,329.90522,303.7829066
381.547488,336.381164,306.1610072
368.4854706,340.1628612,308.5658933
353.0695784,340.9800406,310.6195307
336.2064975,338.7974006,311.9683926
318.8742229,333.8164661,312.3289824
302.0582444,326.458985,311.526706
286.6877581,317.3332139,309.523606
273.576239,307.185788,306.4316024
263.3704053,296.8430059,302.5093771
256.5110144,287.1461849,298.1427592
253.208107,278.8862021,293.8102225
253.4323123,272.7423875,290.0367323
256.9227132,269.2305814,287.3404866
263.2106238,268.6644243,286.1779651
271.6575337,271.1328937,286.8930199
281.5044931,276.4957986,289.6754783
291.9294286,284.3975141,294.5338972
302.1083373,294.2977857,301.2857826
311.2760451,305.5170721,309.5668933
318.7822569,317.2927474,318.8593541
324.1389621,328.8416174,328.5363851
327.0558703,339.4237131,337.9197211
327.461392,348.4022276,346.3444045
325.5076953,355.294779,353.2247502
321.5594831,359.8118814,358.1149841
316.1672787,361.8795336,360.7584029
310.0270912,361.6441122,361.1198533
303.9292899,359.459173,359.3978216
298.700276,355.8552185,356.0143018
295.1410496,351.4948569,351.5827176
293.9669967,347.1169523,346.8562926
295.7531434,343.4742566,342.6612003
300.8887576,341.2695433,339.8203843
309.5445339,341.0953951,339.0749697
321.6547334,343.3825175,341.0105742
336.9156167,348.3607839,345.9955307
354.800382,356.0362095,354.1370723
374.5896765,366.1857941,365.2599769
395.4156695,378.3707536,378.9101741
416.3167318,391.9672007,394.3835592
436.2990262,406.2119419,410.7779399
454.4008285,420.2598559,427.0638954
469.7552003,433.2483845,442.1685364
481.6467383,444.3640932,455.0649068
489.5585263,452.9060812,464.8591721
493.2060776,458.341252,470.8678615
492.5559499,460.3470867,472.6782608
487.8277562,452.5563856,463.9043676
473.1972841,441.4187923,451.0518984
455.6186904,427.3382474,434.6510432
435.9277306,410.927234,415.4983115
415.0691629,392.9630075,394.5940177
394.0351086,374.3313541,373.0630325
373.8007249,355.962244,352.0657391
355.2615728,338.7623778,332.7069624
339.1769341,323.5498543,315.9507571
326.1229135,310.9960138,302.5483452
316.4584773,301.578933,292.9852371
310.306681,295.552119,287.4517819
307.552282,292.9307412,285.8392362
307.8558008,293.4963541,287.7611198
310.6829539,296.8195965,292.5973634
315.3473203,302.2989386,299.5567497
321.0631934,309.2122851,307.7515924
327.0048684,316.7772381,316.2776307
332.3681791,324.2151502,324.2918085
336.4299497,330.8138237,331.0809931
338.601185,335.9838346,336.1157106
338.4702614,339.3039937,339.0845255
335.8330935,340.5523433,339.9066268
330.7081577,339.7202588,338.7222935
323.3353223,337.008593,335.8630163
314.1585653,332.806248,331.8049287
303.79379,327.6529789,327.1106847
292.9839961,322.1895029,322.3658788
282.5449482,317.0990177,318.1164427
273.305159,313.0449251,314.8131655
266.0444037,310.6098729,312.768595
261.435098,310.2411307,312.1302033
259.9906816,312.206816,312.8719626
262.0246691,316.5666271,314.8045776
267.6233016,323.1595858,317.6027284
276.6337911,331.6099306,320.8460002
288.6690744,341.3508553,324.0688588
303.1288506,351.6643509,326.8142128
319.2355463,361.7341149,328.6848535
336.0828193,370.7074334,329.3873962
352.6933347,377.7612044,328.7642239
368.0819014,382.1669182,326.8102602
381.3196794,383.3494637,323.6730255
391.5950799,380.9350939,319.6362015
398.2672057,374.7847156,315.088647
400.9081769,365.0098045,310.4823149
399.3314515,351.9695988,306.283643
393.6041996,336.2496871,302.9236419
384.0428886,318.6235564,300.7519907
371.192377,300,300
355.7899519,281.3603873,300.7563314
338.7167654,263.6905894,302.9580024
320.9399921,247.9127657,306.3975754
303.4496569,234.8222206,310.7457165
287.1944403,225.0341353,315.5866786
273.0208304,218.9441951,320.4628908
261.6197508,216.7060363,324.9238651
253.4842672,218.2271112,328.5741556
248.881205,223.1831216,331.1151909
247.8385414,231.0497147,332.3764234
250.1493438,241.1487875,332.3323543
255.3918772,252.7056097,331.103473
262.9643874,264.9121457,328.940859
272.1320551,276.9914906,326.1959409
282.0827745,288.2582823,323.2785265
291.9878098,298.1703005,320.6075252
301.0630514,306.3671954,318.5596562
308.6265606,312.6933455,317.4217574
314.1483617,317.2031307,317.3520627
317.2889877,320.1483359,318.3549891
317.9240755,321.9488417,320.2726719
316.153289,323.1491117,322.7948063
312.2929427,324.3641313,325.4864799
306.8528446,326.2193065,327.8317901
300.4989809,329.2893219,329.2893219
294.0046581,334.0410447,329.3542052
288.1935329,340.7852435,327.6206012
283.8785289,349.6411839,323.8381981
281.8009393,360.5171362,317.9566619
282.5740098,373.1085494,310.1529566
286.634992,386.9142275,300.8379576
294.2090813,401.2693935,290.6406719
305.287834,415.3931564,280.3704935
319.623658,428.4467297,270.9600455
336.7408635,439.5978587,263.3930972
355.9626097,448.0863934,258.6236018
376.4519847,453.2858148,257.4929147
397.2644703,454.7558098,260.6526331
417.4082528,452.2816678,268.5001814
435.9082884,445.8972826,281.1332805
451.8697647,435.8898143,298.3278675
464.5366314,422.7854926,319.542009
473.341205,407.3175136,343.9460606
477.9414559,390.3783805,370.4769857
478.2434286,372.960257,397.9125635
474.4072621,356.0878354,424.9594014
466.8363978,340.7488102,450.3473911
456.1507132,327.8272312,472.9226283
443.1454212,318.0447814,491.7309167
428.7385436,311.9144022,506.0847905
413.91055,303.4275661,509.326291
393.358129,298.8943678,507.6988027
374.2834182,298.0971137,501.4864608
357.4828808,300.5968634,491.2622878
343.5799151,305.7738852,477.8314333
332.9875714,312.8808499,462.1569823
325.8860131,321.1044585,445.2751242
322.2161797,329.6305641,428.2073304
321.689987,337.7076069,411.87733
323.8162562,344.7033518,397.0401052
327.9404746,350.1504842,384.2289079
333.2955409,353.7775397,373.7245363
339.0598872,355.5228422,365.548992
344.4188732,355.5305004,359.4833476
348.6251238,354.1289667,355.1074224
351.05357,351.7940703,351.8568871
351.2473252,349.0996851,349.0918916
348.9511819,346.660191,346.1703562
344.1303774,345.0695468,342.5187816
336.9733149,344.8420648,337.6938271
327.8780486,346.3598414,331.4289324
317.4234801,349.8312621,323.6618136
306.3272843,355.2641067,314.5405857
295.3935151,362.4556074,304.4083711
285.4535699,371.0004396,293.7683331
277.3046598,380.3161823,283.2329319
271.6501176,389.6843636,273.4626583
269.0457583,398.3039393,265.1004271
269.8560929,405.3530338,258.7081209
274.2235224,410.054076,254.7114499
282.0527444,411.7371621,253.3583749
293.011553,409.8965794,254.6949248
306.5480805,404.2359334,258.5604751
321.9233883,394.698191,264.6026198
338.2572516,381.4781218,272.3098527
354.5840621,365.015984,281.0585672
369.9150675,345.9727696,290.169554
383.3027223,325.1887648,298.9683409
393.9027648,303.6284894,306.8434608
401.0297879,282.3161496,313.297068
404.2025052,262.2664838,317.9832024
403.17562,244.416246,320.7303379
397.9561152,229.5615229,321.5464963
388.8028506,218.3056253,320.6069971
376.2094952,211.0214707,318.2266631
360.8719615,207.8312363,314.8198306
343.6425696,208.604716,310.8526779
325.4740746,212.9763539,306.7930625
307.3573811,220.3794717,303.063188
290.2571919,230.0948738,300
