field1,field2,field3
405.5754,307.6273784,296.9304513
403.3384701,316.8019255,300.3311165
396.7621337,323.6298584,300.7114965
386.2408511,325.9418871,303.5840797
372.4030031,330.9746708,306.0165623
356.0693988,332.3160676,309.6082575
338.1992184,330.7243528,309.5167382
319.8270827,325.766441,310.7509817
301.9955472,320.2180967,310.0683464
285.6876211,312.7406395,308.7186115
271.7639014,303.3707908,305.0576512
260.9085838,291.2250195,301.7796012
253.58799,281.4283903,295.8376721
250.0243788,271.6322377,290.5101496
250.1867485,259.2415558,282.4692507
253.7991566,257.3386075,282.5758132
260.3658743,257.7991047,281.1991587
269.2115251,260.950772,280.7957226
279.5333288,265.0122629,282.1604675
290.4617334,275.9327772,288.5103345
301.1251505,287.342561,294.0269504
310.7142297,300.5203163,306.2237974
318.5411517,311.2672993,317.4978731
324.0897777,324.763178,326.4474062
327.053135,335.0806262,336.865866
327.3556121,343.0658699,344.2632731
325.1583077,346.1866557,347.6081736
320.8471584,354.5812378,353.3730542
315.0046783,356.3174722,354.3008064
308.36729,357.5747038,354.0317511
301.7712404,354.2430098,356.3079142
296.090897,352.8091807,350.595209
292.1737596,346.4802617,350.2055569
290.7767623,342.9502087,343.534916
292.5083603,339.0800081,340.1666079
297.7805039,335.9877148,332.3927898
306.773924,336.8066735,331.3759644
319.4192387,338.0913445,333.1043452
335.3952949,342.8374027,340.6029771
354.1449714,349.6833345,350.2538686
374.9074552,363.5976165,361.4708581
396.764865,374.4079377,378.2283865
418.7000951,385.3236183,392.5016392
439.6619691,398.7755212,405.7768431
458.6332836,411.4940429,419.6663904
474.6971072,424.6676395,434.4793482
487.0968141,434.8576244,444.3119945
495.2857523,441.8807048,454.0099356
498.9631507,446.3834649,457.9758151
498.0938105,448.8137591,460.2867696
492.9102325,437.1374608,454.2812874
477.6148842,429.8060285,441.2025486
459.200631,417.6551334,426.7590676
438.5514133,405.7375096,410.13647
416.6664823,388.6157835,393.811723
394.5951938,371.5024783,370.3157518
373.3689584,350.7719345,345.904995
353.9349852,330.9551686,325.9896802
337.0963191,311.0334318,304.0076919
323.4622287,297.293666,286.023976
313.4122802,283.6241291,278.2680253
307.0764786,280.9472769,271.7210595
304.3327428,277.481035,269.9552257
304.8217801,277.5729742,275.1616722
307.9782229,282.0651661,280.9615117
313.0757645,288.734546,287.6679719
319.2830695,297.1655508,299.3754237
325.726492,308.3074695,311.4732307
331.5551738,317.8655447,316.2076473
336.0039372,323.7250439,326.2416124
338.4495523,331.9633076,335.7231397
338.4564289,337.4477263,336.3150424
335.8085279,336.1183576,337.326288
330.5252547,336.8977674,336.8589229
322.8602223,334.4347753,333.4133309
313.2829683,330.5698464,331.0887273
302.4449089,323.8650351,324.5116176
291.131915,319.7187473,320.9550788
280.2068379,314.117439,317.144618
270.5460186,309.2905916,313.5952341
262.9742447,307.0333003,308.664111
258.2027362,307.9830287,310.4919261
256.7745415,307.1502834,312.2574193
259.0212193,310.0604139,312.8639337
265.0339079,318.5006801,314.6663593
274.6508886,326.0234622,317.762174
287.4626155,331.1122968,320.5986285
302.8339699,341.829986,323.2163651
319.9423077,350.5905537,321.5962663
337.8287693,358.2979747,323.8609707
355.4593989,363.9611095,325.8797763
371.791936,364.9093513,319.0189335
385.8437367,365.1111507,318.9647446
396.7561997,366.7020668,316.6127469
403.8512977,359.2697705,312.9002383
406.6763539,352.8538972,307.1567225
405.0340002,341.7876347,304.5798487
398.9952688,326.5978393,302.5011114
388.8949205,312.2165678,298.9895527
375.3093304,297.1813061,298.4049381
359.0184428,275.6144459,300.4652986
340.954398,251.6684981,299.6632736
322.1403427,235.0741675,302.234604
303.6236017,218.3549933,305.1103202
286.4077682,205.803321,310.1281663
271.3883355,199.423384,317.9544394
259.2962351,196.1460944,320.0879836
250.6530967,196.4203843,323.1520495
245.7412227,204.2637516,324.5964248
244.5902514,213.4335923,328.8311746
246.9813227,225.2781208,328.223829
252.4683488,238.1928625,324.938019
260.4148112,254.1725118,322.8379537
270.0434308,265.6081309,321.8150264
280.495175,281.453311,321.6600477
290.8934241,294.4621508,317.8726109
300.4087719,303.1825221,317.7768953
308.3199008,310.6306211,316.6510554
314.066255,314.6855747,316.1457699
317.2888167,318.6919768,318.6397745
317.8561247,320.4835179,320.0815481
315.8737133,321.0844,321.1732581
311.6763095,320.5551085,325.2440534
305.8033355,324.0582253,327.29939
298.9594335,328.6237215,326.2224449
291.9627812,330.7370151,325.9645057
285.684824,335.1404781,324.1219873
280.9856571,345.4618859,321.5217692
278.6496042,351.2644365,314.455154
279.325535,365.6251641,304.2749304
283.4761443,378.0235482,292.6451266
291.3398028,389.618477,278.4641352
302.9077249,400.3565672,265.745545
317.9181407,410.7699097,254.3704202
335.8679857,421.8644655,246.6758081
356.0414071,430.9575294,239.9178314
377.5532206,434.0603154,236.4934273
399.4044112,437.862462,241.5910869
420.5459336,434.3249003,251.7029807
439.9464853,431.3136734,264.5186805
456.65964,422.3237567,285.2093461
469.8857657,409.0976107,308.5291831
479.0244993,397.7077959,337.9037344
483.7141911,385.5733783,368.1925108
483.8556234,368.6134576,395.4480278
479.6183777,348.7381422,419.4659484
471.4294188,327.8488666,438.0936502
459.9446733,310.3503728,460.8951916
446.0055502,300.1484982,477.1699028
430.5833751,291.3100318,488.4005158
414.7155352,278.7387438,493.7154773
393.1555427,277.8184289,490.9402815
373.158594,277.7557607,484.3334916
355.5670637,281.9524708,476.9148545
341.0402462,287.0646581,464.66174
330.0149162,296.3160964,448.1942993
322.6814855,305.6441934,434.225417
318.9772988,315.2676936,418.2836132
318.5974255,328.9058221,404.7028028
321.0220882,338.0768058,393.5383166
325.5587256,345.2155321,381.3755443
331.3956735,349.9323677,369.1292493
337.6636515,351.3614846,364.8775513
343.5007091,353.3689591,358.3655351
348.1160561,353.6572572,355.6349483
350.8482878,350.4714614,350.381464
351.2139172,347.278996,348.8140172
348.9428097,343.6134194,346.2502418
343.998035,343.8219695,341.6948481
336.5787461,341.4679731,336.3979135
327.1058821,341.7157483,330.7755725
316.1916982,344.7565739,320.7694336
304.5952564,350.3786562,310.2320145
293.1670004,352.9158068,298.0488867
282.786303,362.8641996,284.9853544
274.296376,369.5342434,273.8550202
268.4411246,377.741026,263.5285994
265.808403,383.8565392,254.1780405
266.7836952,386.2227161,247.7035548
271.5175264,392.0924458,243.5790331
279.908967,392.2146529,242.511252
291.6064789,389.610157,242.0732804
306.0261555,385.4906402,248.0235781
322.3861983,376.2683506,255.4642744
339.7553514,366.880499,261.4150375
357.1120388,353.5366223,276.6904805
373.4102069,337.6061119,285.6272104
387.6473977,320.47222,295.0617765
398.9304196,300.1367289,304.6959585
406.5341331,275.8659377,312.7018772
409.9493371,251.2392134,314.6267909
408.9164817,230.7354711,314.9858911
403.4429011,213.6809259,318.8464493
393.8023878,197.5133881,316.0291222
380.5171367,187.7542325,315.4149509
364.3232956,185.0730002,308.4960998
346.1224763,188.9388919,309.2510824
326.9225433,191.9500757,305.6351365
307.771724,201.393198,301.0925279
289.690533,213.0870127,300.6519964
