field1,field2,field3
400.160064,311.3912172,300.4756452
398.0404052,321.9940862,301.8350463
391.8089829,330.9899489,303.8836402
381.8400169,337.6916359,306.3230832
368.7296433,341.5962728,308.7871661
353.2565518,342.4236535,310.8864635
336.3307002,340.1371964,312.2567992
318.9336129,334.9458694,312.6061434
302.0543366,327.2869753,311.7546565
286.6254214,317.7911959,309.6632607
273.4632793,307.2326899,306.44728
263.2169644,296.4682163,302.3732305
256.3288275,286.3701089,297.8386138
253.009671,277.7584073,293.3363741
253.2300222,271.3375007,289.4073523
256.7280275,267.6422719,286.5854205
263.0333157,266.9979628,285.3408731
271.5050784,269.4968833,286.0279817
281.381634,274.9937406,288.8423493
291.8379498,283.1198788,293.7928423
302.047057,293.3152175,300.6915149
311.2410281,304.8752644,309.1631939
318.7672292,317.0093859,318.6744391
324.1358965,328.9056258,328.5796231
327.0556998,339.7968474,338.1800815
327.4547989,349.0228769,346.7908618
325.4859186,356.0836536,353.8086769
321.5150852,360.6791176,358.7743741
316.094816,362.73263,361.4235768
309.9236388,362.3960456,361.7201443
303.7947826,360.0360292,359.8686257
298.5376381,356.2027089,356.303822
294.9561038,351.5831847,351.6577408
293.7681552,346.9436219,346.7064086
295.5509019,343.064587,342.3010039
300.6950257,340.6748294,339.2893795
309.3718468,340.3888524,338.4351027
321.515399,342.6533236,340.341543
336.8208578,347.7066854,345.3882317
354.7595314,355.5552813,353.6857244
374.6094831,365.9680084,365.0536013
395.4997624,378.4900365,379.0241833
416.4652825,392.4746175,394.8722143
436.5086324,407.1305693,411.6683759
454.6646298,421.5817662,428.3522835
470.0632204,434.9340041,443.8187732
481.9864317,446.344012,457.0100003
489.9154939,455.0851965,467.0052584
493.5649056,460.6049468,473.100551
492.9011148,462.5689835,474.8708067
488.1445377,454.6070896,465.9269836
473.4726251,443.1749614,452.7814491
455.8419463,428.691298,435.9802946
436.09126,411.7910195,416.3439653
415.1687209,393.2798854,394.9028599
394.0700177,374.076182,372.8156914
373.7738137,355.1440077,351.2777571
355.178889,337.4233347,331.4271206
339.0472531,321.7622719,314.2568291
325.9570778,308.8567674,300.540677
316.2686133,299.202391,290.7787322
310.1053483,293.0618755,285.1669978
307.3516139,290.4508421,283.5933622
307.6666958,291.1426971,285.6595996
310.5143729,294.6921665,290.7268494
315.2057383,300.4754705,297.9799407
320.9522415,307.7438268,306.5043253
326.9251895,315.6859309,315.3683815
332.3175059,323.4943699,323.7035401
336.4033972,330.4306283,330.7750767
338.591734,335.8834869,336.0374677
338.4693993,339.4161577,339.1698077
335.8315624,340.7984217,340.0887746
330.6967577,340.02125,338.9388082
323.3057102,337.2928059,336.0613305
314.1039909,333.0162287,331.9467716
303.7097167,327.7510668,327.1746946
292.8685592,322.1615512,322.348297
282.399218,316.9559597,318.0299197
273.1331868,312.8220481,314.6838923
265.8530462,310.3638483,312.6321354
261.2336308,310.0450319,312.0265163
259.7902254,312.1435254,312.8401707
261.8374695,316.7211658,314.8780436
267.4619094,323.6109909,317.8049549
276.5102003,332.4233511,321.1877627
288.593878,342.5705208,324.5468477
303.1104712,353.308008,327.4112904
319.2795974,363.7894114,329.3718635
336.1916412,373.1305807,330.1262984
352.8657385,380.4780719,329.5121929
368.3131412,385.0765188,327.5242899
381.6016557,386.3296053,324.3145356
391.9167632,383.8497969,320.1751477
398.615252,377.4928563,315.5066973
401.267697,367.3743436,310.7747554
399.686881,353.8667078,306.4598183
393.9402152,337.5770854,303.0058889
384.3453069,319.3074334,300.7731881
371.4489793,300,300
355.9911779,280.6722856,300.7776597
338.856233,262.3464615,303.041286
321.0148078,245.9786451,306.5771878
303.4604986,232.3934317,311.0461033
287.1454084,222.2286653,316.0197533
272.9190799,215.8946158,321.0267765
261.4749303,213.5505958,325.6031103
253.3078055,215.1006733,329.3413983
248.6854955,220.2086365,331.9340835
247.6360813,228.3308567,333.2054982
249.9518868,238.7642978,333.1294016
255.2096589,250.7057419,331.8299484
262.8054769,263.317443,329.5658256
272.0018749,275.7939351,326.6990996
281.9838222,287.4246694,323.6519795
291.9195987,297.6475117,320.8560537
301.0222714,306.0888981,318.6994497
308.607447,312.5875339,317.4777052
314.1432441,317.1998608,317.3538764
317.288977,320.1869968,318.332565
317.9198403,321.9843475,320.2511977
316.1358636,323.1564915,322.7901644
312.2545091,324.3411285,325.5014911
306.7874306,326.1867651,327.853772
300.4030237,329.2893219,329.2893219
293.8773917,334.132935,329.288105
288.0371697,341.0398969,327.4321061
283.6982214,350.133949,323.4635316
281.6045223,361.320071,317.3305999
282.3715383,374.2825877,309.2156866
286.4381067,388.5019412,299.5421372
294.0302444,403.2889715,288.9580111
305.1394861,417.8341319,278.297198
319.5173562,431.26785,268.5205358
336.6864586,442.7273281,260.6415536
355.967521,451.4245293,255.6430657
376.5206227,456.7099693,254.3918934
397.3978489,458.1272275,257.5593766
417.6038188,455.4537935,265.5550154
436.1599819,448.7249156,278.4795661
452.1683089,438.2384349,296.1022951
464.8700332,424.5400652,317.8650091
473.6954345,408.3901078,342.9131255
478.30126,390.714038,370.1516291
478.5932265,372.5406611,398.321519
474.7320615,354.9325096,426.0904758
467.1226725,338.9137567,452.1501674
456.3871839,325.401115,475.3119716
443.3236879,315.1429529,494.5929994
428.8535286,308.6712115,509.2851392
413.9607233,299.9875518,512.7191882
393.3455022,295.4029834,511.137268
374.2133099,294.6916833,504.8319922
357.3634714,297.3984362,494.3935768
343.4216222,302.8805793,480.6513683
332.8022912,310.3631548,464.5974129
325.6862807,319.0028065,447.2990677
322.0143061,327.9553001,429.8085282
321.4972333,336.4412935,413.0772991
323.6421007,343.8051633,397.883049
327.7920245,349.56228,384.7750272
333.1771256,353.4310762,374.0424145
338.9728624,355.3474984,365.7077889
344.3616457,355.4608554,359.5455319
348.5933946,354.1115889,355.1227015
351.0407751,351.7929451,351.8578601
351.2452429,349.099826,349.0917719
348.9506601,346.6691331,346.1629059
344.1221288,345.1165967,342.4803816
336.9487221,344.9753699,337.5874056
327.8299208,346.641524,331.2092996
317.3467054,350.3310256,323.2818259
306.2193301,356.0518521,313.9574948
295.2547404,363.5936828,303.5897089
285.287324,372.5361856,292.6967417
277.1171589,382.2754135,281.9094627
271.4501068,392.0663619,271.9082233
268.8439798,401.0784166,263.3552706
269.6645959,408.4593674,256.8293773
274.0548626,413.4029427,252.7690379
281.9191266,415.2145053,251.4296375
292.9239773,413.3696573,252.8585397
306.5155498,407.5610285,256.8902231
321.9522344,397.7294265,263.1616015
338.3506255,384.0767353,271.1456912
354.7416263,367.0593695,280.200029
370.1329132,347.3626076,289.6248742
383.573518,325.8576272,298.7253688
394.2161294,303.5444165,306.8715633
401.3728637,281.4848513,313.5505599
404.5606949,260.7309943,318.4059314
403.5334376,242.2540561,321.2609495
398.2980966,226.8794037,322.1238535
389.1144627,215.2325347,321.1752301
376.4779827,207.7000737,318.7393805
361.0870769,204.4086764,315.2431246
343.7971377,205.2233269,311.1666911
325.5643551,209.7649975,306.9920416
307.3832063,217.4461365,303.1541091
290.2218731,227.521063,300
