field1,field2,field3
405.06,317.4320789,303.0518337
402.8342313,328.5508779,303.3747333
396.2907218,337.8028265,305.457394
385.8220055,345.4923097,310.5209934
372.0533942,350.8084984,310.8819796
355.8016885,352.2684576,313.7498754
338.0213838,347.7944268,314.9448031
319.7420475,345.1864723,315.1043174
302.0011424,334.6866013,314.7851462
285.7768754,322.8325126,311.0271418
271.9256382,310.2030463,308.6704893
261.128282,299.9942261,305.0594075
253.8488469,292.9283896,300.6052684
250.3085014,287.7403659,298.1956869
250.4763895,281.9166106,294.9280889
254.0779094,277.089,291.9583588
260.6197457,278.0253459,293.8130911
269.4298121,280.6999888,294.0042437
279.7092397,284.3270972,295.784449
290.5927136,291.2301029,300.2012976
301.2128922,299.9428808,307.5805863
310.7643673,311.6338252,313.2106377
318.5626684,319.5379503,321.6591073
324.094167,334.865226,330.4106246
327.0533791,342.8217398,342.7011033
327.3650522,353.7435674,349.6563694
325.1894878,363.5141897,359.6975475
320.9107278,365.355215,363.0655386
315.1084312,368.5100259,365.5783602
308.5154142,366.1521631,365.0509262
301.9638293,366.7244925,366.1825448
296.3237635,361.2510801,361.9671757
292.4385668,353.6356154,356.2373605
291.0614656,349.2607943,349.9188473
292.7979317,349.554959,347.9582699
298.057891,346.9585211,343.9756312
307.0211791,345.2649065,345.6021616
319.6187389,350.6811282,345.9446351
335.5309717,356.7018637,349.1558683
354.2034616,360.8152814,357.1488754
374.8790959,369.4313334,367.6777723
396.64446,380.7522405,380.7629456
418.4873987,396.9844911,400.6444051
439.3618529,412.759093,417.0079758
458.2555703,429.8341253,437.6680267
474.2560809,445.0201278,456.664475
486.6104378,458.2290444,467.2505592
494.7746425,468.8167676,480.923082
498.4493773,472.171658,484.3548087
497.5996001,474.6560283,486.1715404
492.4566615,469.0861547,477.8253825
477.2206482,455.351821,462.6360825
458.8809711,437.5810787,443.2382726
438.3172703,417.0236407,422.8440744
416.5239341,398.2861114,397.9803805
394.5452106,380.268501,376.4153472
373.4074901,360.5674647,356.8137481
354.0533727,346.2886713,340.6354346
337.2819976,335.4250321,327.3070057
323.6996739,323.6404523,314.760265
313.6841293,316.0030567,307.8849821
307.3647487,308.408261,301.803763
304.6200613,308.4962576,297.9868018
305.0925425,305.7399612,298.2537358
308.2195988,310.5604998,305.5131991
313.278483,313.2313774,312.8814408
319.4419315,317.7078438,315.8168275
325.840577,325.8468268,321.1075308
331.6277281,328.5793869,328.3964488
336.0419554,333.8543424,334.8022824
338.4630843,337.7246705,337.8881743
338.4576633,343.1501662,344.8661644
335.8107201,344.905568,341.1999182
330.5415774,345.5626951,340.1235744
322.9026213,341.0483368,338.0776734
313.3611085,335.824675,334.8076009
302.5652859,329.0291377,329.1812977
291.2971986,324.9055311,326.4095198
280.4154958,320.8127748,319.345877
270.7922501,315.0154551,319.8532097
263.2482322,312.0277449,314.4694947
258.491199,313.0159555,313.9662982
257.0615566,313.8947179,316.4880407
259.2892536,318.1617444,316.3542363
265.2649909,329.9702948,320.5445386
274.827847,338.3244579,325.7451168
287.5702824,350.8749075,327.4865262
302.8602857,364.4367733,331.9645773
319.8792348,376.3780805,335.4060299
337.672957,385.5620048,334.558485
355.2125495,395.169807,335.2940477
371.4608446,403.7250225,332.0407561
