field1,field2,field3
416.065108,315.0603073,303.815513
415.5748976,327.9905307,304.4053087
407.9241056,338.8415316,305.5529348
396.1930824,346.0301585,309.4628136
381.9254844,349.70405,312.2901727
365.1806347,351.9348085,313.5245692
348.3517004,348.2602579,315.722229
326.8574704,343.1168975,315.3974617
310.523309,332.7710387,315.5665857
296.2492006,321.0168207,312.8673532
282.2352667,309.5813984,308.4816648
273.6435252,300.6866384,306.0623752
266.4391722,292.8645995,302.3980258
263.1842582,286.5901893,298.0374756
265.289559,281.1079502,294.2965173
264.5049317,279.5309802,292.1046269
273.8097004,278.8986658,292.6610144
281.9890747,281.1640491,293.9568803
287.2033848,285.506968,294.9237126
300.2131553,292.9075509,299.8134234
311.0160732,301.2448972,306.5379147
321.3679322,310.9743237,313.0944668
328.8651529,321.143635,321.1878017
336.3986795,330.560438,329.93049
337.9978666,343.553464,340.5617754
336.9002232,353.1307145,350.5115383
337.6821165,360.9592738,359.589309
332.7443261,365.9169556,363.7934467
326.5707719,369.1849432,366.765367
320.7424007,368.7534767,366.6291948
315.3495965,365.0263713,364.9129134
302.8738427,360.3495232,360.4405012
306.3282232,353.2449637,353.3057382
305.5081457,349.7654692,349.1543282
301.7270594,346.7222789,347.3397037
311.6463538,346.894697,344.083052
315.6427471,346.2450642,344.5399948
331.5293916,349.5145968,346.3413582
347.0595145,354.292705,351.5645704
366.8560085,361.1082404,357.7870073
382.7124721,368.635718,368.4872416
404.2005719,380.0756329,382.2022605
425.1993111,396.4479973,399.9415994
447.1012414,413.2860205,416.9438643
467.1259842,429.2995769,436.7398159
481.9284164,444.1303568,454.6337596
491.8312829,457.0009695,468.1686774
503.3589432,467.0624704,478.3793964
509.3864205,474.0307667,485.6975027
505.8047779,476.1122349,487.0024463
495.508709,465.9392983,477.2801915
483.9268944,453.0256784,462.5365027
470.3232458,436.6245877,444.2738657
442.9563412,417.9958607,423.0049846
426.5209273,396.5178563,398.4859392
400.9523035,376.5602908,377.047974
377.0155656,361.9348492,356.8341312
364.3447691,347.7974513,341.7754068
342.8771094,334.5987692,325.7771475
334.1229847,322.6130509,314.7223566
325.6105635,314.8048911,306.4227826
320.5572271,309.5334084,299.4395852
317.2458658,307.2469484,298.7916779
319.2791814,305.6419527,300.2603954
316.5006035,309.1405776,302.5684733
324.9128015,313.0531442,309.6809514
325.2600704,318.3024338,316.6231469
340.1059196,324.6112202,321.7338932
339.4415182,330.3317568,328.3239067
341.4641618,334.1911509,333.540404
347.7724105,338.9432254,337.7197663
343.6986819,341.495196,342.2278193
348.2334883,344.7742945,343.0134647
337.5286534,343.8470087,342.1156514
327.3700145,340.105412,338.6304372
324.5327106,335.5845302,334.267572
311.7757024,329.9273758,330.0285468
300.4618167,323.9268808,323.9906872
286.4818723,318.8387184,320.4835332
285.5792912,316.6945913,317.3492824
274.3488839,313.0665366,315.1691328
273.4269501,313.0369989,314.3172351
269.5242742,314.856596,315.0387304
268.0878569,319.6523477,316.5886413
272.9169679,327.7014567,320.7508306
284.3568797,338.0214832,325.3042994
296.8436699,350.233655,329.6302698
306.8981851,362.365795,332.1504362
332.4391293,375.6607808,335.0229857
349.4590995,386.0877485,336.0429297
359.6823475,395.9266285,335.0821685
376.9736538,400.8774706,333.6261172
394.8996974,402.0585781,329.5467022
399.2922757,399.2444589,324.5055361
408.7861382,392.0832667,319.7330012
416.9861573,381.6887897,314.2496549
409.3826739,364.8869429,309.4993682
407.8820224,345.65599,306.3422221
394.970251,324.4133357,302.8227951
386.5806837,302.6575004,302.0618144
371.1469609,286.1323079,303.2063804
347.7783162,272.5942644,306.0856295
329.8605519,258.1109372,308.7227493
314.8156776,247.5102538,315.4507534
294.844211,240.235973,320.2413093
279.9014335,234.8198939,325.2149407
268.2140627,234.5046164,330.7598115
259.5136535,235.9183023,335.2409026
255.6447132,238.6495784,337.5260383
259.7392467,245.2230519,339.283028
263.7914011,255.2886946,339.7566024
267.2033284,263.5593721,336.4485826
273.4097249,275.0120105,334.724633
280.8896493,284.8557357,331.0691286
288.288356,293.2339787,327.3830837
298.0521536,301.9069961,324.7129412
310.6641877,308.9584084,320.6553108
317.8208046,315.6205924,319.3652655
319.6285749,319.7729342,320.1065716
323.5526513,321.6305622,320.0403735
329.4327536,324.9296601,321.6612033
329.0724036,325.2135142,324.1640617
324.7838739,325.8592749,326.6508504
319.5139899,328.3385023,330.0293804
306.2196675,330.4908332,331.2014152
307.3157517,336.3635486,331.7300374
294.419854,345.258581,330.0579909
296.2229954,353.7688077,327.9925201
290.6668751,366.5519251,322.4639226
295.8153427,381.6603188,316.5795871
299.171543,397.7476923,309.5975744
300.5648945,414.5929535,300.2911448
316.0544566,431.3050878,293.1316611
330.8784296,446.4996492,285.0088237
349.2286143,459.8875365,277.5294544
363.8632501,469.1331294,274.6107613
381.4812985,475.101251,274.3247517
404.774578,477.0531019,277.0599354
425.4754179,473.2741356,285.1845707
451.8838788,463.4580054,294.9557935
465.5672096,451.436098,311.4330835
476.6926392,435.1674383,328.6217664
484.9504825,415.7182083,350.8436081
491.9221324,394.8647491,374.4885145
489.8671261,377.2828306,402.5909077
486.2731603,363.0962764,432.9572086
480.3051256,350.4798419,462.710338
468.1145951,342.1234667,487.9715925
452.9355556,332.8962166,510.6898814
435.124124,329.7854293,527.4797533
426.721555,321.1338441,531.0110889
399.9946762,316.6766223,529.8317695
380.3963892,316.9211575,523.6668596
367.7053175,318.3886984,511.8822857
356.8242802,320.9086862,496.2506496
343.9006578,325.7964339,477.3372157
331.3752061,332.0875731,458.5246683
335.1377709,340.4964149,438.4786988
335.2355942,346.3305016,421.4635988
331.2008706,351.7177394,403.6986478
339.714413,355.743942,390.2485053
344.2492594,356.8339792,377.2081648
345.7017846,358.514214,368.6719483
353.7684419,357.4491724,360.8487588
354.2153767,357.0931976,357.5726534
359.2446624,353.7516381,354.574007
355.9358502,351.7283988,351.2957266
360.0640575,348.1276131,347.7282811
351.5588169,347.8547057,343.9019186
347.2501767,347.677525,340.139158
334.5255701,349.7037271,334.7485319
324.3727711,354.62107,326.5691369
316.921251,360.8844832,319.8752378
304.9652074,370.7337862,310.3541451
294.8214981,381.1925845,301.4093724
283.8617586,394.464787,292.0833371
278.1262493,406.0166799,282.0940156
282.1855657,416.5087742,275.5397903
279.0749324,426.1223657,269.5633156
281.5886038,431.8232896,265.8742921
288.0563346,434.6854072,264.6373657
301.9543153,431.1500786,264.5508978
317.8809939,425.7494692,268.9599944
331.8259528,415.1994393,273.3803946
350.0114689,398.4178219,279.9628389
367.751785,377.86724,287.066886
383.821787,355.820459,295.7455601
399.1586537,331.5406384,301.7307289
402.7148354,306.4189801,308.83906
417.5037356,288.7229345,317.6427849
421.1238508,272.1875056,322.2086964
413.535427,256.7197831,324.8552006
413.1408695,245.1418727,327.3698864
399.2665926,234.8966036,325.8569172
386.1981585,229.0160381,323.4720458
373.6360278,225.5549121,319.2763073
355.1763305,226.3018911,314.5076108
336.8550912,230.9047415,310.3287709
316.6026289,236.5377194,306.4357481
300.2392679,244.0753328,301.9754196
