field1,field2,field3
400.4004,311.6637982,300.4840852
398.2755367,322.5179312,301.86747
392.0288068,331.7240692,303.9517424
382.0353286,338.5785342,306.4326569
368.8926693,342.5663738,308.9367607
353.3813877,343.4006586,311.066927
336.4136262,341.0439404,312.4517804
318.9732656,335.7102244,312.7935218
302.0517275,327.8473407,311.9087654
286.5838012,318.1011479,309.7576762
273.3878598,307.2644321,306.457879
263.114517,296.2145671,302.2811867
256.2071875,285.844878,297.6329921
252.8771818,276.9951409,293.0160225
253.0949598,270.3867045,288.9818515
256.5980424,266.5673393,286.0749478
262.914933,265.8701386,284.7749456
271.4032891,268.3896679,285.4431609
281.299605,273.9771812,288.2791011
291.7768725,282.2552037,293.2918421
302.0061422,292.6502373,300.2897522
311.2176485,304.4409032,308.8902674
318.7571958,316.8176131,318.5494249
324.1338498,328.9489453,328.6088547
327.055586,340.0493765,338.3561018
327.450397,349.4429185,347.0926953
325.471379,356.6175464,354.2034485
321.4854422,361.2660438,359.2201636
316.046435,363.3099866,361.8732766
309.8545671,362.9049375,362.1259792
303.7049765,360.4264326,360.1869192
298.4290502,356.4378827,356.499556
294.8326216,351.642963,351.7084612
293.6353953,346.8263158,346.6050774
295.415872,342.7873318,342.0574882
300.5656774,340.2723403,338.9303865
309.2565493,339.9106801,338.0025118
321.4223701,342.1598214,339.8892353
336.7575904,347.2640061,344.977659
354.7322569,355.2297998,353.3805846
374.6227072,365.8206159,364.9140783
395.5559085,378.5707645,379.1012607
416.5644649,392.8180259,395.2025762
436.6485794,407.7522759,412.2703673
454.8407611,422.4764057,429.2233158
470.2688752,436.0747939,444.9344381
482.2132336,447.683977,458.3250072
490.1538293,456.5599733,468.4561492
493.8044831,462.1369651,474.6099911
493.1315698,464.0727138,476.3531071
488.3560423,455.9949605,467.2944006
473.6564612,444.3634976,453.9507354
455.9910068,429.6070125,436.8789531
436.2004431,412.3756103,416.915681
415.2351925,393.4943412,395.1116568
394.0933253,373.9034873,372.648473
373.7558459,354.5902437,350.7450312
355.1236838,336.5171001,330.5618662
338.9606695,320.5524759,313.111626
325.8463548,307.408973,299.1833657
316.1418475,297.5940003,289.2869947
309.9709252,291.3765341,283.6223384
307.2176345,288.7725016,282.0750085
307.5404367,289.5497943,284.2388383
310.401817,293.2523692,289.4622629
315.1112087,299.241388,296.9139176
320.8781626,306.7500068,305.6610935
326.8719906,314.9473586,314.7536712
332.2836731,323.0065619,323.3058333
336.3856689,330.1712902,330.5682578
338.5854239,335.8155738,335.9845706
338.4688236,339.4920678,339.2274639
335.8305401,340.9649621,340.2119181
330.6891463,340.2249541,339.0851858
323.2859391,337.4851549,336.1954034
314.0675534,333.158339,332.0426664
303.6535837,327.8174506,327.2179693
292.7914859,322.1426341,322.3364107
282.3019188,316.8591411,317.9714246
273.0183666,312.67121,314.5964953
265.7252832,310.1973443,312.53988
261.0991178,309.9123166,311.9564173
259.6563875,312.1006918,312.8186773
261.7124826,316.8257541,314.9277114
267.3541531,323.9164918,317.9416728
276.4276829,332.9738559,321.4188159
288.5436719,343.3959633,324.8699986
303.0981999,354.4203986,327.8149529
319.3090089,365.1803902,329.836326
336.264298,374.770513,330.6258433
352.9808467,382.3167874,330.0178676
368.4675323,387.0456717,328.0070194
381.7899219,388.3464988,324.7482372
392.1315404,385.8224031,320.5395096
398.847631,379.3256656,315.7893258
401.5077365,368.974611,310.9724638
399.9241895,355.1506289,306.5789241
394.1645617,338.4754391,303.0614931
384.5472216,319.7702661,300.7875188
371.6203041,300,300
356.1255298,280.2065936,300.792079
338.9493509,261.4367856,303.097591
321.0647597,244.6696752,306.6986172
303.4677372,230.7496815,311.2491839
287.1126715,220.3299857,316.3125394
272.8511445,213.8307284,321.407999
261.3782384,211.4150639,326.0623232
253.1899879,212.9847697,329.8601031
248.5548269,218.1955711,332.487707
247.5009055,226.4907942,333.7660054
249.8200513,237.1505282,333.6682562
255.0879979,249.3522759,332.3210919
262.6993777,262.2381836,329.9883427
271.9149579,274.9834563,327.0392668
281.9177552,286.8604987,323.9044575
291.8740565,297.2936998,321.0240748
300.9950439,305.9005527,318.793959
308.5946856,312.5159229,317.5155295
314.1398273,317.1976478,317.3551026
317.2889699,320.2131616,318.3174049
317.9170125,322.008377,320.2366797
316.1242292,323.161486,322.7870261
312.2288482,324.3255606,325.5116395
306.7437559,326.1647418,327.8686331
300.3389562,329.2893219,329.2893219
293.79242,334.1951243,329.243417
287.9327711,341.2122407,327.3046715
283.5778361,350.4674415,323.2102332
281.4733812,361.8634793,316.9073422
282.2363547,375.0771506,308.5820325
286.306653,389.5764704,298.6660803
293.9108409,404.6557769,287.8204254
305.0404391,419.4861297,276.8955183
319.446382,433.1771215,266.8712722
336.6501343,444.8452833,258.7813352
355.9708001,453.6837053,253.6280338
376.56645,459.0273609,252.295406
397.4869014,460.408928,255.4681386
417.7343917,457.6006175,263.5638959
436.3280293,450.6385947,276.6854865
452.367637,439.8279291,294.5976666
465.0926346,425.7275208,316.7312505
473.9319417,409.1160157,342.2147956
478.5414893,390.9412035,369.9316674
478.826775,372.2566878,398.597999
474.9489193,354.1506108,426.855154
467.3138086,337.6718333,453.3689588
456.5450675,323.7591736,476.9273196
443.4427106,313.17906,496.5279494
428.9303003,306.4762922,511.4487783
413.9942223,297.6594267,515.0130024
393.3370717,293.0400921,513.4618892
374.166501,292.3869638,507.0937842
357.2837457,295.2338118,496.5105273
343.3159352,300.9224542,482.5578235
332.6785857,308.6592347,466.2472991
325.552926,317.5804552,448.6673822
321.8795218,326.8215188,430.8910396
321.368538,335.5842807,413.8885546
323.5258229,343.1972894,398.4529326
327.6929093,349.1641964,385.1442386
333.0980636,353.1965974,374.2573205
338.9147588,355.2288295,365.8151456
344.3234368,355.4137212,359.5875724
348.57221,354.0998281,355.1330312
351.0322324,351.7921835,351.8585179
351.2438527,349.0999213,349.091691
348.9503117,346.675185,346.1578689
344.1166214,345.1484391,342.4544207
336.9323023,345.0655879,337.5154579
327.7977875,346.8321606,331.0608139
317.2954455,350.6692545,323.0249301
306.1472527,356.5849805,313.5632884
295.1620852,364.363907,303.0362413
285.1763271,373.5755444,291.9722778
276.9919708,383.6013776,281.0147134
271.3165663,393.6784454,270.8573263
268.709259,402.9561211,262.1754339
269.5367397,410.5616648,255.5592272
273.942254,415.6693811,251.4558439
281.8299145,417.5678938,250.1256884
292.8655059,415.7201592,251.6170267
306.4938302,409.8113789,255.7610265
321.971494,399.7808992,262.1873814
338.4129681,385.8354191,270.3586439
354.8468267,368.4422873,279.6196025
370.2783616,348.3032191,289.256636
383.7543193,326.3102984,298.5611042
394.4253526,303.4875179,306.8905623
401.6019241,280.9222472,313.7219365
404.7998462,259.6918093,318.691723
403.7723404,240.790734,321.6196768
398.5264263,225.0642052,322.5141837
389.3225157,213.1527354,321.5593917
376.6572429,205.4522261,319.0860101
361.2307024,202.0923641,315.5292982
343.9003376,202.9348781,311.378984
325.6246323,207.5916229,307.1265641
307.400449,215.4609205,303.2155776
290.1982919,225.7791652,300
