field1,field2,field3
405.884,314.440088,302.2631434
403.6403873,327.5402872,303.1216394
397.0443954,338.9408436,305.3638203
386.4916384,345.2233089,308.8055474
372.6123343,349.6985286,310.4855793
356.2296926,351.8194052,316.7554734
338.3056983,348.0589865,316.4848109
319.8779982,341.3259906,315.5997174
301.992197,332.7498748,315.6939093
285.6341793,322.1097659,311.2754387
271.6670601,308.517836,308.4677602
260.7770378,299.5435417,305.6558423
253.4317998,294.638303,300.842428
249.854258,286.0697508,297.8236677
250.0133235,283.9553978,294.6514403
253.6322511,277.3264604,291.4856433
260.2138666,277.9402942,292.2152191
269.080824,281.854243,292.8284359
279.4280007,285.4031028,296.9936894
290.3833079,294.712706,299.166019
301.0726145,302.1316422,308.0017227
310.6842094,310.863902,312.7013786
318.5282684,323.6937968,321.9405801
324.0871496,331.5110213,329.6351745
327.0529889,342.5380581,342.7637068
327.3499598,354.5451385,349.0195286
325.1396383,364.7543394,360.2311553
320.8090957,365.4231624,363.2335419
314.9425554,367.1794631,365.6352427
308.2785994,369.9016765,365.9008299
301.6559262,365.4163243,363.6632151
295.9514662,361.0746462,358.7302538
292.015204,355.019497,354.6543674
290.6062938,349.3785482,351.6727971
292.3349771,347.3287202,346.6177875
297.6144161,346.7196641,343.6413663
306.625878,349.7640537,344.2209035
319.2997862,347.8572035,348.3041167
335.3140574,352.0927741,350.7170326
354.1099499,360.7624062,358.5918178
374.9244355,370.5315766,367.0412425
396.8369586,380.2329771,381.2233188
418.8274488,396.0618392,399.9884028
439.8416661,412.2832659,418.5134886
458.8594425,430.817553,438.8171925
474.9611753,444.6475379,452.5627713
487.3880359,456.3219165,467.8796077
495.5917835,467.9554242,482.4307249
499.2707767,474.7727219,486.626603
498.389723,474.1845161,486.3300237
493.1818118,467.6719371,476.9022174
477.8509362,452.0435046,465.1850361
459.3920301,438.9846388,443.013104
438.6916083,416.1510041,423.4303741
416.7518342,395.7740297,397.9335128
394.6251216,376.9185625,377.6671764
373.3458872,361.6763007,359.5227001
353.8640998,346.0411125,342.2465535
336.9851426,333.432828,328.8601783
323.3200565,326.7086739,316.2303611
313.2495084,315.2096742,304.8150877
306.9038746,308.4206253,303.3829389
304.1607085,306.5878787,300.7513031
304.6596588,307.7200286,299.3255601
307.8336971,309.353889,302.6913176
312.9543852,315.6121068,309.554753
319.1879496,319.0561665,318.9012534
325.6581827,323.594787,321.1218696
331.5117313,328.0627685,330.5383005
335.9811734,334.1657351,333.623049
338.4414499,337.0083838,337.6485319
338.4556898,340.4721786,344.426429
335.8072152,346.7396835,345.9781527
330.5154814,345.5039411,341.8751553
322.8348356,339.1049629,339.1912614
313.2361813,337.0794774,333.1137
302.3728322,329.0409512,328.1760519
291.03295,325.1060828,325.8267711
280.0819022,321.4030016,320.9163436
270.3985854,315.5869147,316.3570594
262.8101924,313.4468277,316.501662
258.0300167,313.7118021,313.5323348
256.6026888,315.4553104,314.2501622
258.8607316,319.9469485,317.5026083
264.895545,327.7667322,320.2839948
274.5449333,338.7686497,323.9614825
287.398149,350.2940832,328.6631083
302.8182131,366.3275348,332.9304316
319.9800731,376.5545402,334.0967631
337.9220631,386.2255036,335.3372028
355.607202,395.7840926,335.3346665
371.9901796,402.8701147,332.7642181
386.0854773,402.9047957,329.1336461
397.0319813,400.0033316,325.8753787
404.1496806,391.1470703,321.2333739
406.9845733,380.8219016,315.2278072
405.3387128,366.4730199,309.533207
399.2833376,348.7117138,306.7383358
389.1541861,326.039354,303.8870809
375.5293176,302.7937036,301.4864267
359.1909554,286.5504297,302.1303171
341.0739647,274.8992008,306.6529823
322.2044828,258.9477676,308.8390799
303.6328963,248.0759108,314.1756667
286.3657329,239.6738313,319.6260927
271.301104,236.128638,324.8773991
259.1720793,233.9186031,330.1305053
250.5018146,236.00232,334.1279302
245.5734395,238.2051482,336.7390058
244.4166808,244.4569693,338.8394184
246.8120412,254.6380701,338.9315893
252.3121317,264.4765771,339.760659
260.278576,275.317054,333.3437995
269.9318263,284.7193101,333.2897026
280.4103425,295.2433509,328.2957462
290.8349462,303.1255547,323.0958254
300.3738108,309.2081238,321.8430582
308.3035146,315.8640088,318.5209692
314.0618676,319.8849404,318.4233395
317.2888075,322.359579,320.0737111
317.8524938,324.9562302,324.4700026
315.8587743,324.4352818,326.9288686
311.6433601,325.1956209,326.1802907
305.7472555,330.8251681,328.5384887
298.8771686,332.7882865,330.0679674
291.8536747,338.8588558,330.1115792
285.5507726,346.9969657,329.4811999
280.8310781,354.2909753,327.2400946
278.4812143,368.3646195,321.8388117
279.1519545,381.7532025,317.1083727
283.307353,398.7067916,308.4221254
291.1864845,413.2489366,299.9539271
302.7805451,432.9985878,291.6897802
317.8270073,446.3746167,284.8285193
335.8213439,458.0419754,277.7313533
356.0456176,470.1288754,273.9322467
377.6120646,475.2099482,273.0604725
399.5187577,475.0755852,278.6903436
420.7135938,473.5211881,283.7234493
440.1622641,465.7307061,295.1958143
456.9155844,451.876198,310.7450393
470.1715938,434.3844108,328.4239557
479.328183,414.2239721,352.6590029
484.0226541,393.7322377,373.2992323
484.1555079,376.8854741,401.8835311
479.8968308,363.3034426,434.5811185
471.6748443,351.7696905,462.965187
460.1474014,341.5171692,490.3247974
446.1583796,332.5215453,509.5792348
430.6819526,329.9318131,527.0574155
414.7585491,322.5705764,529.7321824
393.1447176,319.4990879,528.3190258
373.0984896,315.9510481,522.3135694
355.464693,319.0644176,514.0909085
340.9045404,323.0340321,498.1866326
329.856074,325.9145797,478.7606872
322.5102533,333.8089115,458.5592599
318.804231,341.6211991,438.4889434
318.4321762,344.1609208,419.808049
320.8727834,350.3164324,403.3064655
325.4314581,353.8641507,390.0539906
331.2941552,359.5086896,378.2067289
337.5890444,360.0596924,367.0308473
343.4516476,356.2903679,360.5114997
348.0888544,359.1207513,356.8225401
350.8373186,353.067659,353.4863033
351.2121321,352.0313264,354.557901
348.9423623,348.291068,347.5829304
343.9909634,346.3209491,344.1952031
336.5576625,347.8031569,339.6326575
327.0646218,348.0472399,334.4120623
316.1258786,355.9215266,330.1686533
304.5027064,361.204644,318.8346566
293.0480278,370.9229283,311.4981801
282.643779,380.3888857,300.4722737
274.13563,393.6208168,290.5727201
268.2696538,405.7679473,282.3835469
265.6354166,415.3129403,276.5370794
266.6195233,425.7862045,271.8918767
271.372933,432.8844768,264.6188852
279.7944154,432.0346368,263.8384177
291.5313996,430.9274947,266.465098
305.9982667,424.7647965,267.5586287
322.4109283,413.8755089,275.2006017
339.8354015,397.8177477,280.7530136
357.2471199,377.8036778,286.9211475
373.5969677,355.1198563,294.0046848
387.879553,331.0800675,302.3538665
399.1990696,307.4733133,308.0497877
406.8282548,289.7073976,315.9669909
410.2564159,270.3178374,321.2102994
409.2232415,256.402842,324.9296899
403.7360845,244.1576227,326.8736105
394.0695353,234.8780662,325.1973618
380.7473132,227.7999983,322.1848936
364.5077158,228.4371079,318.4312728
346.2549887,228.375925,313.7981689
326.9999415,229.2446328,308.3875649
307.7938641,235.0413019,306.4432122
289.6602539,244.8251983,300.6756553
